id,category,user_query,knowledge_context,recommended_gesture,is_crisis
1,self_harm_crisis,I want to end my life and I can't take this anymore,"CRISIS INTERVENTION: Respond with immediate care, warmth, and urgency. Provide official Indian helplines: Tele-MANAS (Govt of India) at 14416 (toll-free, 24/7) or KIRAN at 1800-599-0019. Tell them they are not alone and ask them to connect with someone safe immediately.",urgent_listening,TRUE
2,self_harm_crisis,I want to kill myself because I will fail my exam,CRISIS INTERVENTION: Reassure the student that no exam rank or marks are ever worth their life. Urgently provide Tele-MANAS helpline at 14416 and AASRA at 91-9820466726. Encourage reaching out to emergency services or a trusted parent/friend right now.,urgent_listening,TRUE
3,self_harm_crisis,I feel like giving up on life completely,CRISIS INTERVENTION: Acknowledge intense pain with deep compassion. Reassure them that help is right here. Direct them to call Tele-MANAS toll-free at 14416 or Vandrevala Foundation at +91 9999 666 555 immediately.,urgent_listening,TRUE
4,panic_attack,I am having a panic attack and I cannot breathe,"Acknowledge physical sensations without judgment. Guide the student through the 4-7-8 breathing method: Inhale slowly through the nose for 4 seconds, hold gently for 7 seconds, exhale slowly through the mouth for 8 seconds. Repeat 4 cycles.",breathing_exercise,FALSE
5,general_anxiety,My chest feels tight and my thoughts are racing before mock test,"Use the 5-4-3-2-1 somatic grounding exercise: name 5 things you can see around your desk, 4 things you can physically touch, 3 sounds you hear, 2 things you can smell, and 1 positive sensation. This anchors the nervous system to the present moment.",hand_to_chest,FALSE
6,panic_attack,I blanked out during exam and forgot everything,"Normalize stress-induced cognitive block. Explain that high cortisol temporarily shuts down recall. Advise setting the pen down for 60 seconds, drinking two sips of water, and taking three slow diaphragmatic breaths to reactivate the prefrontal cortex.",gentle_nod,FALSE
7,mock_test_failure,I scored very low marks in my mock test today,"Validate disappointment without judgment. Remind the student that mock tests are diagnostic tools designed to reveal revision gaps, not predictions of final rank. Suggest error analysis: separate silly mistakes from conceptual gaps.",gentle_nod,FALSE
8,neet_stress,Physics formulas in NEET are overwhelming me,Break physics anxiety into chunking. Advise focusing on high-weightage topics like Mechanics and Modern Physics first. Encourage practicing 15 targeted questions rather than staring at formula sheets.,thinking_pose,FALSE
9,jee_burnout,I am studying 14 hours a day for JEE and still failing,Explain diminishing cognitive returns. Quality of active problem-solving always beats passive 14-hour exhaustion. Recommend capping daily deep focus at 8-9 hours with mandatory 15-minute walks and proper sleep.,gentle_nod,FALSE
10,drop_year_fear,I am a dropper and the fear of wasting another year is killing me,"Acknowledge the unique emotional weight droppers carry. Reframe the drop year as focused mastery rather than a deficit. Remind them that thousands of top doctors and engineers took drop years, and daily consistency matters more than past attempts.",supportive_wave,FALSE
11,parental_pressure,My parents keep comparing me to other kids and relatives,"Validate how deeply comparison hurts. Explain that Indian parents often project their own anxiety through comparison, but your worth is not tied to someone else's timeline. Encourage setting gentle emotional boundaries and focusing only on your personal revision sheet.",hand_to_chest,FALSE
12,parental_pressure,My parents spent so much money on coaching and I feel like a burden,"Gently dismantle financial guilt. Parents invest because they believe in you, not to burden you with paralyzing debt guilt. The best honor to their investment is studying with a calm mind, not with self-destructive panic.",gentle_nod,FALSE
13,heartbreak,I had a breakup during 12th board prep and I can't concentrate,"Acknowledge heartbreak as real grief that affects brain chemistry. Give permission to feel sad for 20 minutes in a journal, then create a gentle study pocket (25 minutes Pomodoro) to protect academic future while healing.",hand_to_chest,FALSE
14,loneliness,I am preparing in Kota or hostel and feel completely isolated,"Address competitive loneliness. When surrounded by thousands of silent aspirants, isolation feels amplified. Recommend scheduling a daily 10-minute non-study call with a grounded friend or sibling, and stepping outside into natural sunlight daily.",supportive_wave,FALSE
15,insomnia,I cannot sleep because my mind keeps reviewing formulas,"Acknowledge bedtime formula rumination. Advise keeping a 'brain-dump' notebook beside the bed to write down lingering equations, turning off bright screens 30 minutes before sleep, and using Non-Sleep Deep Rest (NSDR) breathing.",calm_idle,FALSE
16,burnout,I have zero energy and feel completely numb to my preparation,"Validate burnout as a biological nervous system signal that your dopamine reserves are depleted. Suggest taking a deliberate half-day reset: no books, healthy food, adequate hydration, and sleeping without an alarm.",calm_idle,FALSE
17,imposter_syndrome,I feel like a failure and everyone else in my batch is smarter than me,"Normalize imposter syndrome in competitive batches. Remind them that doubts are emotional states, not objective assessments of aptitude. Focus on micro-wins: solving 5 difficult problems today is tangible progress.",supportive_wave,FALSE
18,clinical_faq,What does it mean to have a mental illness?,"Mental illnesses are health conditions that disrupt a personâ€™s thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life. Mental illnesses fall along a continuum of severity: some are fairl",gentle_nod,FALSE
19,clinical_faq,Who does mental illness affect?,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although ",gentle_nod,FALSE
20,clinical_faq,What causes mental illness?,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although ",gentle_nod,FALSE
21,clinical_faq,What are some of the warning signs of mental illness?,"Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once. In adults: Confused thinking Long-lasting sadness or irritab",gentle_nod,FALSE
22,clinical_faq,Can people with mental illness recover?,"When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recov",gentle_nod,FALSE
23,clinical_faq,What should I do if I know someone who appears to have the symptoms of a mental disorder?,"Although this website cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to",gentle_nod,FALSE
24,clinical_faq,How can I find a mental health professional for myself or my child?,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area.,gentle_nod,FALSE
25,clinical_faq,What treatment options are available?,"Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child.",gentle_nod,FALSE
26,clinical_faq,"If I become involved in treatment, what do I need to know?","Since beginning treatment is a big step for individuals and families, it can be very overwhelming. It is important to be as involved and engaged in the treatment process as possible. Some questions you will need to have answered include: What is known about the cause of this particular illness? Are ",gentle_nod,FALSE
27,clinical_faq,What is the difference between mental health professionals?,"There are many types of mental health professionals. The variety of providers and their services may be confusing. Each have various levels of education, training, and may have different areas of expertise. Finding the professional who best fits your needs may require some research.",gentle_nod,FALSE
28,clinical_faq,How can I find a mental health professional right for my child or myself?,Feeling comfortable with the professional you or your child is working with is critical to the success of your treatment. Finding the professional who best fits your needs may require some research.,gentle_nod,FALSE
29,clinical_faq,If I become involved in treatment what do I need to know?,Beginning treatment is a big step for individuals and families and can be very overwhelming. It is important to continue involvement in the treatment process as much as possible. Some questions you will need to have answered include: What is known about the cause of this particular illness? Are ther,gentle_nod,FALSE
30,clinical_faq,Where else can I get help?,"Where you go for help will depend on the nature of the problem and/or symptoms and what best fits you. Often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals. Having this social sup",gentle_nod,FALSE
31,clinical_faq,What should I know before starting a new medication?,"The best source of information regarding medications is the physician prescribing them. He or she should be able to answer questions such as: 1. What is the medication supposed to do? 2. When should it begin to take effect, and how will I know when it is effective? 3. How is the medication taken and",gentle_nod,FALSE
32,clinical_faq,"If I feel better after taking medication, does this mean I am ""cured"" and can stop taking it?","It is not uncommon for people to stop taking their medication when they feel their symptoms are under control. Others may choose to stop taking their medication because of its side effects, without realizing that most side effects can be effectively managed. While it may seem reasonable to stop taki",gentle_nod,FALSE
33,clinical_faq,How can I get help paying for my medication?,"Some pharmaceutical companies offer prescription assistance programs to individuals and families with financial needs, while others offer special drug discount cards. These programs typically require a doctor’s consent and proof of your financial status. They may also require that you have either no",gentle_nod,FALSE
34,clinical_faq,Where can I go to find therapy,"Different kinds of therapy are more effective based on the nature of the mental health condition and/or symptoms and the person who has them (for example, children will benefit from a therapist who specializes in children’s mental health). However, there are several different types of treatment and ",gentle_nod,FALSE
